2023-06-09 11:26:48,373 - INFO - Tokenizer vocab size: 35000
2023-06-09 11:27:29,270 - INFO - Batch 100 - Average Loss: 5.74728874206543, Accuracy: 0.026874998584389687
2023-06-09 11:28:07,508 - INFO - Batch 200 - Average Loss: 5.698148190975189, Accuracy: 0.03812500089406967
2023-06-09 11:28:44,958 - INFO - Batch 300 - Average Loss: 5.655016231536865, Accuracy: 0.04416666924953461
2023-06-09 11:29:22,552 - INFO - Batch 400 - Average Loss: 5.6069866502285, Accuracy: 0.05234374850988388
2023-06-09 11:30:00,405 - INFO - Batch 500 - Average Loss: 5.552546411514283, Accuracy: 0.06300000101327896
2023-06-09 11:30:38,277 - INFO - Batch 600 - Average Loss: 5.491209913094838, Accuracy: 0.07791666686534882
2023-06-09 11:31:16,077 - INFO - Batch 700 - Average Loss: 5.430182512147086, Accuracy: 0.09071428328752518
2023-06-09 11:31:54,115 - INFO - Batch 800 - Average Loss: 5.36529688000679, Accuracy: 0.10335937142372131
2023-06-09 11:32:32,355 - INFO - Batch 900 - Average Loss: 5.295251824590895, Accuracy: 0.11673611402511597
2023-06-09 11:33:10,157 - INFO - Batch 1000 - Average Loss: 5.221062977075577, Accuracy: 0.132625013589859
2023-06-09 11:34:16,758 - INFO - Train Epoch 1 Loss: 5.151338636109588, Accuracy: 0.14641280472278595
2023-06-09 11:34:54,825 - INFO - Batch 100 - Average Loss: 4.242213099002838, Accuracy: 0.3018749952316284
2023-06-09 11:35:33,106 - INFO - Batch 200 - Average Loss: 4.154698941707611, Accuracy: 0.30781248211860657
2023-06-09 11:36:11,154 - INFO - Batch 300 - Average Loss: 4.062158617973328, Accuracy: 0.3214583396911621
2023-06-09 11:36:49,049 - INFO - Batch 400 - Average Loss: 3.979472424387932, Accuracy: 0.32734373211860657
2023-06-09 11:37:27,291 - INFO - Batch 500 - Average Loss: 3.9034700841903684, Accuracy: 0.33550000190734863
2023-06-09 11:38:05,125 - INFO - Batch 600 - Average Loss: 3.838990103006363, Accuracy: 0.34197917580604553
2023-06-09 11:38:42,872 - INFO - Batch 700 - Average Loss: 3.7756998814855303, Accuracy: 0.3499999940395355
2023-06-09 11:39:21,012 - INFO - Batch 800 - Average Loss: 3.7108089458942413, Accuracy: 0.3592187464237213
2023-06-09 11:39:59,320 - INFO - Batch 900 - Average Loss: 3.644930519792769, Accuracy: 0.3693750202655792
2023-06-09 11:40:37,064 - INFO - Batch 1000 - Average Loss: 3.5843725386857987, Accuracy: 0.38075003027915955
2023-06-09 11:41:43,697 - INFO - Train Epoch 2 Loss: 3.5311728559502766, Accuracy: 0.3891724646091461
2023-06-09 11:42:21,802 - INFO - Batch 100 - Average Loss: 2.8767509758472443, Accuracy: 0.5093749761581421
2023-06-09 11:43:00,151 - INFO - Batch 200 - Average Loss: 2.790301522612572, Accuracy: 0.5256249904632568
2023-06-09 11:43:38,005 - INFO - Batch 300 - Average Loss: 2.729790436824163, Accuracy: 0.5320833325386047
2023-06-09 11:44:16,384 - INFO - Batch 400 - Average Loss: 2.6711837300658225, Accuracy: 0.5401562452316284
